id	isolate	aliases	country	continent	region	town_or_city	year	month	isolation_date	received_date	age_yr	age_mth	sex	disease	source	epidemiology	species	penner	bioproject_accession	biosample_accession	NCBI_assembly_accession	ENA_run_accession	private_project	comments	sender	curator	date_entered	datestamp	ST (MLST)	clonal_complex (MLST)
659	3173		UK [Scotland]	Europe		Edinburgh	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	404	ST-353 complex
660	3447		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	10							2	20	2001-02-12	2019-06-19	47	ST-21 complex
661	2580		UK [Scotland]	Europe		Edinburgh	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	21							2	20	2001-02-12	2019-06-19	137	ST-45 complex
662	2967		UK [England]	Europe		Norwich	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	4,16,50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
663	2340		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	403	ST-403 complex
664	3187		UK [England]	Europe		Eastbourne	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	13,50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
665	2351		UK [England]	Europe		Bath	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	312	ST-658 complex
666	3741		UK [England]	Europe		Southampton	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	6							2	20	2001-02-12	2019-06-19	405	ST-353 complex
667	C2609		The Netherlands	Europe			1990							carrier	chicken	carrier	Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	406	
668	3845		UK [England]	Europe		Manchester	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	408	ST-45 complex
669	106H		The Netherlands	Europe			1998								chicken		Campylobacter jejuni								2	20	2001-02-12	2019-06-19	409	ST-21 complex
670	2303		UK [England]	Europe		Bath	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	21							2	20	2001-02-12	2019-06-19	375	ST-48 complex
671	2361		UK [England]	Europe		Southampton	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	314	ST-21 complex
672	2353		UK [England]	Europe		Bath	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	13,16,50							2	20	2001-02-12	2019-06-19	377	ST-48 complex
673	79092		UK	Europe			1994								sand (bathing beach)	environmental isolate	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	378	
674	2586		UK [Scotland]	Europe		Edinburgh	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	323	ST-206 complex
675	450148		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	324	ST-354 complex
676	451128		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	325	ST-573 complex
677	451188		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	325	ST-573 complex
678	451087		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	267	ST-283 complex
679	451270		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	326	ST-354 complex
680	451230		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	257	ST-257 complex
681	451202		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	257	ST-257 complex
682	450883		UK	Europe			1998								pork offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	330	ST-21 complex
683	450828		UK	Europe			1998								pork offal or meat		Campylobacter jejuni	35							2	20	2001-02-12	2019-06-19	285	ST-403 complex
684	1917		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	50	ST-21 complex
685	1943		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	50	ST-21 complex
686	1936		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	50	ST-21 complex
687	1954		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	50	ST-21 complex
688	1931		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	50	ST-21 complex
689	1919		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	50	ST-21 complex
690	403168		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	384	
691	408253		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	379	ST-52 complex
692	99/121		The Netherlands	Europe			1999							carrier	cattle	carrier	Campylobacter jejuni								9	20	2001-09-21	2019-06-19	373	ST-21 complex
693	407812		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	319	ST-257 complex
694	401996		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	367	ST-257 complex
695	310/90		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	298	ST-21 complex
696	406636		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	367	ST-257 complex
697	2541		UK	Europe			1991								chicken offal or meat		Campylobacter jejuni	38							2	20	2001-02-12	2019-06-19	320	ST-45 complex
698	C584/94		UK [Wales]	Europe		Cardiff	1994							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	53							2	20	2001-02-12	2019-06-19	354	ST-354 complex
699	80027		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	42	ST-42 complex
700	80160		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	380	
701	451185		UK	Europe			1998								lamb offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	265	
702	451191		UK	Europe			1998								lamb offal or meat		Campylobacter jejuni	44							2	20	2001-02-12	2019-06-19	266	ST-21 complex
703	80168		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	42	ST-42 complex
704	1936		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	50	ST-21 complex
705	C6/95		UK [England]	Europe	Sunderland		1995							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	21	ST-21 complex
706	450821		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	262	ST-21 complex
707	3828		UK [England]	Europe		Bath	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	45	ST-45 complex
708	450719		UK	Europe			1998								pork offal or meat		Campylobacter jejuni								2	20	2001-02-12	2019-06-19	262	ST-21 complex
709	3474		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	13,16,50							2	20	2001-02-12	2019-06-19	205	ST-48 complex
710	99/260		South Africa	Africa			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								9	20	2001-09-21	2019-06-19	442	
711	3102		UK [England]	Europe		Southampton	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	27							2	20	2001-02-12	2019-06-19	45	ST-45 complex
712	3184		UK [England]	Europe		Eastbourne	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	262	ST-21 complex
713	3430		UK [Scotland]	Europe		Edinburgh	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	4,50							2	20	2001-02-12	2019-06-19	38	ST-48 complex
714	3680		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	31							2	20	2001-02-12	2019-06-19	311	ST-658 complex
715	C350		The Netherlands	Europe			1990							carrier	chicken	carrier	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	333	ST-21 complex
716	3673		UK [Scotland]	Europe	Dumfries and Galloway		1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	23							2	20	2001-02-12	2019-06-19	42	ST-42 complex
717	C2150		The Netherlands	Europe			1990							carrier	chicken	carrier	Campylobacter jejuni	4,59							2	20	2001-02-12	2019-06-19	414	ST-48 complex
718	3751		UK [England]	Europe		Poole	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	17							2	20	2001-02-12	2019-06-19	410	ST-403 complex
719	3776		UK [England]	Europe		Poole	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	53							2	20	2001-02-12	2019-06-19	411	ST-433 complex
720	EX1692		UK	Europe			1998								broiler environment	environmental isolate	Campylobacter jejuni								9	20	2001-09-21	2019-06-19	471	ST-206 complex
721	2459		UK [England]	Europe		Hereford	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	53							2	20	2001-02-12	2019-06-19	412	ST-354 complex
722	C662/94		UK [Wales]	Europe		Cardiff	1994							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	21	ST-21 complex
723	C85/93		UK [England]	Europe		Exeter	1993							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	19	ST-21 complex
724	P65		Unknown														Campylobacter jejuni	65							2	20	2001-02-12	2019-06-19	61	ST-61 complex
725	3143		UK [Scotland]	Europe		Aberdeen	2000							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	35							2	20	2001-02-12	2019-06-19	270	ST-403 complex
726	2563		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	262	ST-21 complex
727	407289		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	413	ST-52 complex
728	406030		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	163	ST-257 complex
729	408568		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	170	ST-607 complex
730	408992		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	161	ST-52 complex
731	409777		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	372	ST-257 complex
732	2609		UK	Europe			1991								chicken offal or meat		Campylobacter jejuni	53							2	20	2001-02-12	2019-06-19	354	ST-354 complex
733	406909		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	417	ST-61 complex
734	403594		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
735	2190		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	419	ST-48 complex
736	451201		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	257	ST-257 complex
737	1941		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	50	ST-21 complex
738	1933		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	422	ST-21 complex
739	2348		UK	Europe			1991								chicken offal or meat		Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
740	410423		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
741	410537		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
742	410768		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
743	412160		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
744	451055		UK	Europe			1998								chicken offal or meat		Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	61	ST-61 complex
745	2520		UK	Europe			1991								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	420	ST-21 complex
746	412485		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
747	405887		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
748	404443		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	421	ST-257 complex
749	1518		UK [England]	Europe		Preston	1993							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	4,13,50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
750	450773		UK	Europe			1998								pork offal or meat		Campylobacter jejuni	35							2	20	2001-02-12	2019-06-19	285	ST-403 complex
751	450772		UK	Europe			1998								pork offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	285	ST-403 complex
752	1923		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	50	ST-21 complex
753	450785		UK	Europe			1998								pork offal or meat		Campylobacter jejuni	22							2	20	2001-02-12	2019-06-19	415	ST-403 complex
754	450866		UK	Europe			1998								lamb offal or meat		Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
755	60357		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	416	ST-48 complex
756	70248		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	47	ST-21 complex
757	451268		UK	Europe			1998								lamb offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	427	
758	2525		UK	Europe			1991								chicken offal or meat		Campylobacter jejuni	2							2	20	2001-02-12	2019-06-19	21	ST-21 complex
759	2522		UK	Europe			1991								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	423	ST-21 complex
760	405875		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	316	ST-257 complex
761	411557		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	367	ST-257 complex
762	404453		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	52	ST-52 complex
763	1956		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
764	80089		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	50	ST-21 complex
765	80169		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	42	ST-42 complex
766	70548		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	356	ST-353 complex
767	C48/92		UK [England]	Europe		Lancaster	1992							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	19	ST-21 complex
768	3765		UK [England]	Europe		Poole	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	311	ST-658 complex
769	400142		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
770	70459		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	424	ST-48 complex
771	79044		UK	Europe			1994								sand (bathing beach)	environmental isolate	Campylobacter jejuni	5							2	20	2001-02-12	2019-06-19	220	ST-179 complex
772	EX2072		UK	Europe			1998								broiler environment	environmental isolate	Campylobacter jejuni								9	20	2001-09-21	2019-06-19	472	ST-354 complex
773	2611		UK	Europe			1991								chicken offal or meat		Campylobacter jejuni	21							2	20	2001-02-12	2019-06-19	426	ST-45 complex
774	60362		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	356	ST-353 complex
775	1929		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	50	ST-21 complex
776	1443		UK [England]	Europe		Blackburn	1993							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	4,13,50							2	20	2001-02-12	2019-06-19	425	ST-61 complex
777	450840		UK	Europe			1998								pork offal or meat		Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	428	ST-52 complex
778	450771		UK	Europe			1998								pork offal or meat		Campylobacter jejuni	UT							2	20	2001-02-12	2019-06-19	285	ST-403 complex
779	451181		UK	Europe			1998								beef offal or meat		Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
780	80114		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	53	ST-21 complex
781	80220		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	429	ST-48 complex
782	2483		UK [Scotland]	Europe		Edinburgh	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	53							2	20	2001-02-12	2019-06-19	354	ST-354 complex
783	3764		UK [England]	Europe		Poole	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	430	ST-403 complex
784	3568		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	53							2	20	2001-02-12	2019-06-19	431	ST-433 complex
785	EX2200		UK	Europe			1998								broiler environment	environmental isolate	Campylobacter jejuni								9	20	2001-09-21	2019-06-19	473	ST-48 complex
786	3774		UK [England]	Europe		Poole	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	47	ST-21 complex
787	3767		UK [England]	Europe		Poole	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	18							2	20	2001-02-12	2019-06-19	49	ST-49 complex
788	3200		UK [England]	Europe		Gateshead	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	10							2	20	2001-02-12	2019-06-19	47	ST-21 complex
789	3672		UK [England]	Europe		Manchester	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	356	ST-353 complex
790	C124/93		UK [England]	Europe		Ashford	1993							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	19	ST-21 complex
791	C35/93		UK [England]	Europe		Ashford	1993							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	19	ST-21 complex
792	3822		UK [England]	Europe		Eastbourne	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	27							2	20	2001-02-12	2019-06-19	52	ST-52 complex
793	3773		UK [England]	Europe		Poole	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	10							2	20	2001-02-12	2019-06-19	47	ST-21 complex
794	80161		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	53	ST-21 complex
795	179H		The Netherlands	Europe			1998							carrier	chicken	carrier	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	53	ST-21 complex
796	60521		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	400	ST-353 complex
797	70197		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	432	ST-61 complex
798	412314		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	356	ST-353 complex
799	402678		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
800	3209		UK [England]	Europe		Bath	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	13,50							2	20	2001-02-12	2019-06-19	578	ST-61 complex
801	2632		UK [England]	Europe		Hereford	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	433	ST-433 complex
802	1433		UK [England]	Europe		Gateshead	1993							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	434	ST-257 complex
803	400527		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	50							2	20	2001-02-12	2019-06-19	61	ST-61 complex
804	450812		UK [England]	Europe		Preston	1998								pork offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	435	ST-403 complex
805	406898		UK [England]	Europe		Preston	1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	20	2001-02-12	2019-06-19	257	ST-257 complex
806	192H		The Netherlands	Europe			1998							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	436	
807	80171		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	437	ST-828 complex
808	3181		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	438	
809	70205		The Netherlands	Europe			1996							gastroenteritis	human stool	sporadic case	Campylobacter jejuni								2	20	2001-02-12	2019-06-19	206	ST-206 complex
810	401450		UK [England]	Europe	Preston area		1998							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	57							2	20	2001-02-12	2019-06-19	45	ST-45 complex
811	405684		UK [England]	Europe	Preston area		1998							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	57							2	20	2001-02-12	2019-06-19	137	ST-45 complex
812	407212		UK [England]	Europe	Preston area		1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	57							2	20	2001-02-12	2019-06-19	441	
813	409266		UK [England]	Europe	Preston area		1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	57							2	20	2001-02-12	2019-06-19	45	ST-45 complex
814	NCTC12552		Unknown														Campylobacter jejuni	57							2	20	2001-02-12	2019-06-19	11	ST-45 complex
815	C2641		The Netherlands	Europe			1992							carrier	chicken	carrier	Campylobacter jejuni	12							2	20	2001-02-12	2019-06-19	444	
816	99/27		Czech Republic	Europe			1999							carrier	chicken	carrier	Campylobacter jejuni								9	20	2001-09-21	2019-06-19	474	ST-48 complex
817	450767		UK	Europe			1998								beef offal or meat		Campylobacter jejuni	NT							2	20	2001-02-12	2019-06-19	445	
818	C406/93		UK [England]	Europe		Lancaster	1993								beef offal or meat		Campylobacter jejuni	1							2	20	2001-02-12	2019-06-19	262	ST-21 complex
819	402631		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	12							3	20	2001-03-20	2019-06-19	24	ST-21 complex
820	405573		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	12							3	20	2001-03-20	2019-06-19	45	ST-45 complex
821	411026		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	14							3	20	2001-03-20	2019-06-19	21	ST-21 complex
822	411800		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	14							3	20	2001-03-20	2019-06-19	305	ST-574 complex
823	404438		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	15							3	20	2001-03-20	2019-06-19	350	
824	406003		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	15							3	20	2001-03-20	2019-06-19	407	
825	407029		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	15							3	20	2001-03-20	2019-06-19	137	ST-45 complex
826	409208		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	15							3	20	2001-03-20	2019-06-19	350	
827	409513		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	15							3	20	2001-03-20	2019-06-19	350	
828	403449		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	3							3	20	2001-03-20	2019-06-19	5	ST-353 complex
829	407149		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	3							3	20	2001-03-20	2019-06-19	45	ST-45 complex
830	406709		UK	Europe			1997							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	33							3	20	2001-03-20	2019-06-19	418	ST-45 complex
831	401749		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	37							3	20	2001-03-20	2019-06-19	440	ST-443 complex
832	406658		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	37							3	20	2001-03-20	2019-06-19	443	ST-443 complex
833	400667		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	44							3	20	2001-03-20	2019-06-19	21	ST-21 complex
834	400779		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	44							3	20	2001-03-20	2019-06-19	53	ST-21 complex
835	409432		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	50							3	20	2001-03-20	2019-06-19	50	ST-21 complex
836	411885		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	44							3	20	2001-03-20	2019-06-19	21	ST-21 complex
837	412154		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	257							3	20	2001-03-20	2019-06-19	257	ST-257 complex
838	2357/91		UK	Europe			1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	53							3	20	2001-03-20	2019-06-19	446	ST-446 complex
839	MB97/19717		UK	Europe			1997							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	7							3	20	2001-03-20	2019-06-19	447	ST-42 complex
840	MB97/20376		UK	Europe			1997							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	7							3	20	2001-03-20	2019-06-19	45	ST-45 complex
841	99/400046		UK	Europe			1999						female	gastroenteritis	human stool	sporadic case	Campylobacter jejuni	8							3	20	2001-03-20	2019-06-19	50	ST-21 complex
842	99/405194		UK	Europe			1999							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	8							3	20	2001-03-20	2019-06-19	50	ST-21 complex
